Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Ks 9h 7s,5s,2.87797,62.47,525.715,140.262,37.53,72.7852,64.6427,46.86,53.14
Ks 9h 7s,6s,3.46508,64.47,535.357,138.405,35.53,63.143,59.2352,47.66,52.34
Ks 9h 7s,8s,6.6627,62.21,509.742,136.556,37.79,88.7583,78.2989,48.60,51.40
Ks 9h 7s,9s,0.17469,80.65,580.087,119.877,19.35,18.4127,31.7196,46.15,53.85
Ks 9h 7s,Ts,4.25156,61.02,507.702,138.666,38.98,90.7975,77.6493,50.98,49.02
Ks 9h 7s,Js,3.11886,63.01,519.95,137.53,36.99,78.5498,70.7859,48.77,51.23
Ks 9h 7s,Qs,3.31033,61.66,515.481,139.331,38.34,83.0195,72.1812,48.57,51.43
Ks 9h 7s,As,4.96777,61.34,517.096,140.498,38.66,81.4042,70.1894,48.80,51.20
Qs 8s 2h,,6.58946,59.55,495.98,138.805,40.45,102.52,84.4898,50.41,49.59
Qs 8s 2h,2c,5.92355,60.62,501.493,137.87,39.38,97.0073,82.1197,47.25,52.75
Qs 8s 2h,3c,5.19009,59.41,495.151,138.905,40.59,103.349,84.8751,49.77,50.23
Qs 8s 2h,4c,4.62815,57.00,483.175,141.267,43.00,115.325,89.4095,49.31,50.69
Qs 8s 2h,5c,4.43784,59.88,501.037,139.458,40.12,97.463,80.9742,48.52,51.48
Qs 8s 2h,6c,2.8073,59.34,496.011,139.306,40.66,102.489,84.0272,48.77,51.23
